anno_nac;edad_2012;qx_f;fac_f;qx_m;fac_m
2012;0;2,176;0,035;2,193;0,035
2011;1;0,145;0,035;0,139;0,035
2010;2;0,124;0,035;0,12;0,035
2009;3;0,104;0,035;0,103;0,035
2008;4;0,087;0,035;0,088;0,035
2007;5;0,073;0,035;0,076;0,035
2006;6;0,063;0,035;0,067;0,035
2005;7;0,057;0,035;0,062;0,035
2004;8;0,053;0,034521181;0,059;0,035
2003;9;0,053;0,034077027;0,059;0,035
2002;10;0,054;0,033832287;0,062;0,035
2001;11;0,058;0,033713133;0,068;0,035
2000;12;0,064;0,033636346;0,077;0,035
1999;13;0,07;0,033533595;0,091;0,035
1998;14;0,077;0,033366451;0,108;0,035
1997;15;0,085;0,033129296;0,128;0,035
1996;16;0,093;0,032842473;0,15;0,035
1995;17;0,102;0,032541083;0,175;0,035
1994;18;0,109;0,032264149;0,2;0,035
1993;19;0,114;0,032045681;0,223;0,035
1992;20;0,118;0,031907515;0,243;0,035
1991;21;0,121;0,031854462;0,258;0,035
1990;22;0,123;0,031873384;0,27;0,035
1989;23;0,126;0,031937146;0,278;0,035
1988;24;0,129;0,032012659;0,284;0,035
1987;25;0,133;0,032070315;0,29;0,035
1986;26;0,138;0,032091076;0,297;0,035
1985;27;0,145;0,032068462;0,304;0,035
1984;28;0,153;0,032004485;0,314;0,035
1983;29;0,163;0,031901001;0,326;0,035
1982;30;0,175;0,031750401;0,34;0,035
1981;31;0,188;0,031530816;0,357;0,035
1980;32;0,204;0,031209624;0,376;0,035
1979;33;0,223;0,03075459;0,398;0,035
1978;34;0,246;0,030147621;0,425;0,035
1977;35;0,273;0,029394722;0,457;0,035
1976;36;0,304;0,028528015;0,496;0,035
1975;37;0,34;0,027599267;0,544;0,035
1974;38;0,38;0,026667219;0,604;0,035
1973;39;0,425;0,025782397;0,676;0,035
1972;40;0,475;0,024973852;0,762;0,035
1971;41;0,532;0,024241678;0,861;0,034187279
1970;42;0,596;0,023557732;0,976;0,033247101
1969;43;0,666;0,022874488;1,105;0,032164244
1968;44;0,744;0,02213922;1,251;0,030918241
1967;45;0,828;0,021308991;1,413;0,02949585
1966;46;0,918;0,020362207;1,592;0,027898367
1965;47;1,016;0,0193045;1,788;0,026162036
1964;48;1,12;0,018168723;2,003;0,02438632
1963;49;1,23;0,017010011;2,235;0,022694695
1962;50;1,346;0,015897262;2,486;0,021182142
1961;51;1,466;0,014902462;2,755;0,019918082
1960;52;1,591;0,014089456;3,042;0,018940104
1959;53;1,719;0,013504302;3,345;0,018242052
1958;54;1,849;0,013169344;3,665;0,017771418
1957;55;1,981;0,013082272;4;0,017453436
1956;56;2,113;0,013220016;4,347;0,017216407
1955;57;2,243;0,013546039;4,702;0,017019316
1954;58;2,371;0,014019135;5,058;0,016843089
1953;59;2,496;0,014601738;5,416;0,016689835
1952;60;2,516980044;0,015265978;5,776551043;0,016581742
1951;61;3,01304563;0,015996237;6,600957472;0,01655272
1950;62;3,521024572;0,016787805;7,409485;0,016633911
1949;63;4,00259535;0,017642395;8,194434049;0,016839273
1948;64;4,423287635;0,01856204;8,910887704;0,017177248
1947;65;4,79408067;0,019543182;9,530991439;0,017631596
1946;66;5,163284711;0,020572708;10,06085725;0,018165429
1945;67;5,595001852;0,021627066;10,55219798;0,018731767
1944;68;6,103033222;0,02267448;11,07936948;0,019282793
1943;69;6,705319994;0,023679224;11,71909032;0,019788095
1942;70;7,39052596;0,024606337;12,61235133;0,020214947
1941;71;8,174420895;0,025425281;13,86802907;0,020540944
1940;72;9,127876214;0,026111636;15,56689158;0,020765998
1939;73;10,28935314;0,026646829;17,72214284;0,020898127
1938;74;11,6810091;0,027016648;20,28444207;0,020951589
1937;75;13,35453433;0,027209562;23,24111051;0,020938864
1936;76;15,37471703;0,027215747;26,61244311;0,020864577
1935;77;17,78254277;0,027027383;30,52328976;0,020723312
1934;78;20,59583056;0,026640132;35,08160053;0,02049944
1933;79;23,87259172;0,026055263;40,35236194;0,020172837
1932;80;27,62784928;0,025281613;46,25711902;0,019724227
1931;81;31,95725736;0,024336617;52,81152861;0,019135488
1930;82;36,89372832;0,023245851;59,98909118;0,018404463
1929;83;42,55521649;0,022041028;67,72239626;0,017544561
1928;84;48,88114359;0,020756958;75,89667387;0,016581928
1927;85;55,88843896;0,019428267;84,32159123;0,015557735
1926;86;63,48865476;0,018086681;92,88106062;0,014510958
1925;87;71,4220482;0,016759262;101,4395774;0,013464668
1924;88;79,63555573;0,015467607;109,8509163;0,012431812
1923;89;88,1826182;0,014227662;117,9856338;0,011424437
1922;90;97,03621003;0,013049793;125,728053;0,010453932
1921;91;105,9147995;0,01193894;133,1430466;0,009525564
1920;92;114,6969623;0,010894932;142,579;0,008637659
1919;93;123,54475;0,009913183;152,998;0,007787634
1918;94;136,4875346;0,008985897;166,299983;0,00697697
1917;95;148,3222701;0,008103699;178,9044844;0,006208722
1916;96;160,962593;0,00725736;192,4089528;0,005481341
1915;97;174,4899521;0,00643925;206,9094586;0,004981341
1914;98;188,9968312;0,005644165;222,5157962;0,004481341
1913;99;204,5886015;0,005144165;239,3538998;0,003981341
1912;100;221,3857301;0,004644165;257,5687404;0,003481341
1911;101;239,5264189;0,004144165;277,3278008;0,002981341
1910;102;259,1697534;0,003644165;298,8252287;0,002481341
1909;103;280,4994499;0,003144165;322,2867675;0,001981341
1908;104;303,7282856;0,002644165;347,9755295;0,001481341
1907;105;329,1032697;0,002144165;376,1985849;0,000981341
1906;106;356,9115382;0,001644165;407,314113;0,000481341
1905;107;387,486781;0,001144165;441,7383691;0
1904;108;421,2156227;0,000644165;479,9506508;0
1903;109;458,5425712;0,000144165;522,4921821;0
1902;110;499,9704543;0;569,9499764;0
1901;111;546,0497178;0;622,9062619;0
1900;112;597,3424712;0;681,8111479;0
1899;113;654,3311526;0;746,6860043;0
1898;114;717,2072395;0;816,4583304;0
1897;115;785,4024838;0;887,5363336;0
1896;116;856,5845845;0;951,1612188;0
1895;117;924,6785505;0;991,4090099;0
1894;118;1000;0;1000;0
1893;119;1000;0;1000;0
1892;120;1000;0;1000;0
